2024-09-27 15:42:34 - Task: collectEntraObjectIDs - Success: Found ObjectID for mh-8cc2472xcp : ff86f1e4-a01b-4445-8195-9abad26a0028
2024-09-27 15:42:34 - Task: collectEntraObjectIDs - Success: Found ObjectID for dk-5cg2158yt3 : 15712225-3439-4581-9bc6-0421721fb08c
2024-09-27 15:42:34 - Task: collectEntraObjectIDs - Success: Found ObjectID for dk-5cg2158z59 : e6ab8cda-bb23-4e3d-b6ba-0079122cd607
2024-09-27 15:42:34 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cg32567xb : e605a121-12e2-4171-bc66-19b1290a5925
2024-09-27 15:42:34 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-pw021kaf : 2eba02a4-6fc7-45f9-b6f9-8a8d7e4d94e1
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for neilmj-11568ss : 8ad9fb09-8823-4b5f-8cf6-a2a865434ba7
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for dradm-04717lj : 5d63fae7-5a24-4756-ab77-81f3060845e5
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cd329724l : 15c6c4b0-a619-4c29-9468-d9e09c3a11d5
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for mh-8cc2472x21 : 3fbfd61d-4917-42a4-8ec7-1c19c24ce7b7
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for dk-5cg3161w4d : 0c445ce2-b2f0-47c3-817c-a13664c9d257
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for dse-5cg3253xg6 : 4526bd52-9b2f-4188-aa22-bde2befd811c
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for drildro-847c38p : a34469a4-39d5-4c66-bd8d-2f6c98e95511
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for mh-8cc2472x9x : b33f43a9-b766-4a5c-b21d-f44da8a97dd7
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for svilta-8121h63 : 84233e54-a2b0-46ff-8e9b-1c3a63cecc7d
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for dk-5cg2158zz2 : fda9785c-e375-4d72-8492-7bfee428df14
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for mh-8cc2472x42 : a76d2774-cbcb-4391-a9ff-3659aa1a70bf
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for neuemj-7482htm : e9f74227-90d7-4b8a-8aac-ed4ea9a4fb2b
2024-09-27 15:42:35 - Task: collectEntraObjectIDs - Success: Found ObjectID for ikt-5cg2242c2z : 41a76c6e-f2ab-4b3e-8cdb-63d876318cfe
